fiscal_year,production_type,productions,shoot_days
2022,WEB,80,160
2022,CORPORATE,74,125
2022,STILL PHOTOGRAPHY,54,115
2022,DOCUMENTARY,41,109
2022,TV COMMERCIAL,34,67
2022,TV SERIES,23,92
2022,STUDENT,15,60
2022,FEATURE,9,37
2022,SHORT,8,21
2022,MUSIC VIDEO,4,8
2022,PSA,1,1
2023,WEB,41,68
2023,CORPORATE,41,68
2023,STILL PHOTOGRAPHY,55,93
2023,DOCUMENTARY,36,58
2023,TV COMMERCIAL,34,73
2023,TV SERIES,19,36
2023,STUDENT,16,23
2023,FEATURE,6,24
2023,SHORT,14,27
2023,MUSIC VIDEO,7,15
2023,PSA,1,1
2024,WEB,35,54
2024,CORPORATE,56,80
2024,STILL PHOTOGRAPHY,27,40
2024,DOCUMENTARY,31,67
2024,TV COMMERCIAL,35,56
2024,TV SERIES,10,40
2024,STUDENT,15,23
2024,FEATURE,9,126
2024,SHORT,6,12
2024,MUSIC VIDEO,4,5
2024,PSA,4,4
2025,WEB,49,76
2025,CORPORATE,54,105
2025,STILL PHOTOGRAPHY,25,58
2025,DOCUMENTARY,26,42
2025,TV COMMERCIAL,31,53
2025,TV SERIES,14,21
2025,STUDENT,18,31
2025,FEATURE,16,87
2025,SHORT,3,7
2025,MUSIC VIDEO,4,4
2025,PSA,1,1
